,city,county,lng,lat,leads,renews,rate,level,eb_estimate,new_eb,score
73,杭州市,余杭区,119.975,30.2762,1297,203,0.157515034695451,2,0.1547080294982603,0.1541910809446088,170
74,武汉市,洪山区,114.338,30.5028,1250,191,0.1542,2,0.1510232070448412,0.1506511179573041,170
75,佛山市,禅城区,113.117,23.0119,998,151,0.1523026052104208,2,0.1491399946368843,0.1487844586907377,170
76,重庆市,江北区,106.571,29.6091,987,156,0.1590547112462006,2,0.1556484310536764,0.1549313363177985,170
77,广州市,海珠区,113.312,23.086,910,135,0.1499010989010989,1,0.1460914535799337,0.1495368215833785,170
78,天津市,滨海新区,117.712,39.0016,871,133,0.1536980482204362,2,0.1501803376134942,0.1497138450642012,170
79,无锡市,惠山区,120.293,31.6791,726,112,0.1552699724517906,3,0.1512025313964064,0.1487419030281814,170
80,重庆市,渝中区,106.548,29.5647,614,98,0.1614234527687296,2,0.155736280617102,0.1546333045426817,170
81,南京市,浦口区,118.622,32.062,571,87,0.1533642732049036,2,0.1486150505354655,0.1480777328678387,170
82,苏州市,张家港市,120.551,31.8783,566,89,0.1591272084805653,2,0.153192203422347,0.1522381904217963,170
83,广州市,荔湾区,113.239,23.1286,549,82,0.1512732240437158,1,0.14564325423431,0.1510684269206917,170
84,厦门市,集美区,118.092,24.578,547,89,0.1646197440585009,3,0.1582079978954193,0.154408533138641,170
85,成都市,青羊区,104.006,30.676,500,79,0.159,2,0.1533997526281081,0.15231870770644,170
86,上海市,奉贤区,121.469,30.9204,497,74,0.1498933601609658,1,0.1448388926057097,0.1508234753079876,170
87,上海市,青浦区,121.12,31.1522,494,74,0.1507975708502024,1,0.1456629375958174,0.1515947209865487,170
88,乌鲁木齐市,水磨沟区,87.7674,43.8293,471,79,0.1697898089171974,4,0.1622211225742694,0.1525943040757012,170
89,深圳市,坪山区,114.346,22.7114,462,70,0.1525151515151515,1,0.146997921728277,0.153129009236878,170
90,无锡市,新吴区,120.362,31.5418,410,68,0.1668536585365853,3,0.159729540547738,0.1547148326216753,170
91,成都市,温江区,103.829,30.7052,386,60,0.156440414507772,2,0.1497926979432172,0.1489016336818467,170
92,东莞市,南城街道,113.722,22.9793,355,55,0.1573380281690141,2,0.1488747765807819,0.148043757983412,170
93,重庆市,璧山区,106.202,29.5792,354,57,0.1634293785310734,2,0.1544231625749875,0.1528527233037218,170
94,东莞市,长安镇,113.754,22.7879,346,54,0.1570693641618497,2,0.1497708362457668,0.1488014805617957,170
95,哈密市,伊州区,93.4493,42.359,310,56,0.183258064516129,6,0.1713024668227509,0.1548714065120244,170
96,嘉兴市,平湖市,121.012,30.6782,238,39,0.1648655462184874,3,0.1541028012986728,0.147490065007806,170
97,南京市,雨花台区,118.772,31.9932,232,38,0.1647931034482758,2,0.1538186551754656,0.1517686609544425,170
98,嘉兴市,嘉善县,120.922,30.8324,226,39,0.1735663716814159,3,0.1612345137900583,0.1530439419500819,170
99,南京市,玄武区,118.793,32.0507,205,33,0.1644146341463414,2,0.1502647063943851,0.1487376819500506,170
